"Rk,Player,Age,Team,Pos,GP,G,A,PTS,-9999"
"1,Nikita Kucherov,31,TBL,RW,78,37,84,121,kucheni01"
"2,Nathan MacKinnon,29,COL,C,79,32,84,116,mackina01"
"3,Leon Draisaitl,29,EDM,C,71,52,54,106,draisle01"
"4,David Pastrňák,28,BOS,RW,82,43,63,106,pastrda01"
"5,Mitch Marner,27,TOR,RW,81,27,75,102,marnemi01"
"6,Connor McDavid,28,EDM,C,67,26,74,100,mcdavco01"
"7,Kyle Connor,28,WPG,LW,82,41,56,97,connoky01"
"8,Jack Eichel,28,VEG,C,77,28,66,94,eicheja01"
"9,Cale Makar,26,COL,D,80,30,62,92,makarca01"
"10,Sidney Crosby,37,PIT,C,80,33,58,91,crosbsi01"
"11,Brandon Hagel,26,TBL,LW,82,35,55,90,hagelbr01"
"12,Clayton Keller,26,UTA,C,81,30,60,90,kellecl01"
"13,Artemi Panarin,33,NYR,LW,80,37,52,89,panarar01"
"14,Nick Suzuki,25,MTL,C,82,30,59,89,suzukni01"
"15,Jesper Bratt,26,NJD,W,81,21,67,88,brattje01"
"16,Mikko Rantanen,28,3TM,RW,82,32,56,88,rantami01"
"16,Mikko Rantanen,28,COL,RW,49,25,39,64,rantami01"
"16,Mikko Rantanen,28,CAR,RW,13,2,4,6,rantami01"
"16,Mikko Rantanen,28,DAL,RW,20,5,13,18,rantami01"
"17,Mark Scheifele,31,WPG,C,82,39,48,87,scheima01"
"18,William Nylander,28,TOR,C,82,45,39,84,nylanwi01"
"19,Martin Nečas,26,2TM,C,79,27,56,83,necasma01"
"19,Martin Nečas,26,CAR,C,49,16,39,55,necasma01"
"19,Martin Nečas,26,COL,C,30,11,17,28,necasma01"
"20,Matt Duchene,34,DAL,C,82,30,52,82,duchema01"
"21,Brayden Point,28,TBL,C,77,42,40,82,pointbr01"
"22,Dylan Strome,27,WSH,C,82,29,53,82,stromdy01"
"23,Zach Werenski,27,CBJ,D,81,23,59,82,werenza01"
"24,Sam Reinhart,29,FLA,C,79,39,42,81,reinhsa01"
