Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
1,Nathan MacKinnon,29,COL,C,79,32,84,116,320,mackina01
2,David Pastrňák,28,BOS,RW,82,43,63,106,319,pastrda01
3,Zach Werenski,27,CBJ,D,81,23,59,82,298,werenza01
4,Brady Tkachuk,25,OTT,LW,72,29,26,55,296,tkachbr01
5,Filip Forsberg,30,NSH,C,82,31,45,76,281,forsbfi01
6,Nazem Kadri,34,CGY,C,82,35,32,67,279,kadrina01
7,Matt Boldy,23,MIN,LW,82,27,46,73,271,boldyma01
8,Kyle Connor,28,WPG,LW,82,41,56,97,267,connoky01
9,Nikita Kucherov,31,TBL,RW,78,37,84,121,265,kucheni01
10,Auston Matthews,27,TOR,C,67,33,45,78,261,matthau01
11,Pavel Dorofeyev,24,VEG,LW,82,35,17,52,254,dorofpa01
12,William Nylander,28,TOR,C,82,45,39,84,253,nylanwi01
13,Cale Makar,26,COL,D,80,30,62,92,246,makarca01
14,Alex DeBrincat,27,DET,RW,82,39,31,70,244,debrial01
15,Kevin Fiala,28,LAK,LW,81,35,25,60,244,fialake01
16,Bo Horvat,29,NYI,C,81,28,29,57,243,horvabo01
17,Tage Thompson,27,BUF,C,76,44,28,72,242,thompta01
18,Carter Verhaeghe,29,FLA,C,81,20,33,53,241,verhaca01
19,Sam Bennett,28,FLA,C,76,25,26,51,241,bennesa01
20,Leon Draisaitl,29,EDM,C,71,52,54,106,240,draisle01
21,Cole Caufield,24,MTL,RW,82,37,33,70,239,caufico01
22,Jordan Kyrou,26,STL,C,82,36,34,70,239,kyroujo01
23,Timo Meier,28,NJD,RW,80,26,27,53,238,meierti01
24,Artemi Panarin,33,NYR,LW,80,37,52,89,237,panarar01
25,Adrian Kempe,28,LAK,LW,81,35,38,73,237,kempead01
26,Alex Ovechkin,39,WSH,LW,65,44,29,73,237,ovechal01
27,Macklin Celebrini,18,SJS,F,70,25,38,63,236,celebma01
28,Evan Bouchard,25,EDM,D,82,14,53,67,235,bouchev01
29,Dylan Larkin,28,DET,C,82,30,40,70,234,larkidy01
30,Frank Vatrano,30,ANA,LW,81,21,24,45,234,vatrafr01
31,Jack Eichel,28,VEG,C,77,28,66,94,233,eicheja01
32,Anders Lee,34,NYI,LW,82,29,25,54,233,leean01
33,Tyler Toffoli,32,SJS,C,78,30,24,54,233,toffoty01
34,Brandon Montour,30,SEA,D,81,18,23,41,231,montobr01
35,Jack Hughes,23,NJD,C,62,27,43,70,229,hugheja03
36,Brandon Hagel,26,TBL,LW,82,35,55,90,228,hagelbr01
37,Sidney Crosby,37,PIT,C,80,33,58,91,227,crosbsi01
38,Clayton Keller,26,UTA,C,81,30,60,90,218,kellecl01
39,Jake Guentzel,30,TBL,C,80,41,39,80,217,guentja01
40,Sam Reinhart,29,FLA,C,79,39,42,81,213,reinhsa01
41,Mikko Rantanen,28,3TM,RW,82,32,56,88,212,rantami01
42,Jason Robertson,25,DAL,LW,82,35,45,80,211,roberja01
43,Zach Hyman,32,EDM,LW,73,27,17,44,210,hymanza01
44,Sebastian Aho,27,CAR,F,79,29,45,74,207,ahose01
45,Kirill Marchenko,24,CBJ,RW,79,31,43,74,207,marchki01
46,Jonathan Marchessault,34,NSH,C,78,21,35,56,206,audymjo01
47,Seth Jarvis,22,CAR,C,73,32,35,67,204,jarvise01
48,Dylan Guenther,21,UTA,RW,70,27,33,60,204,guentdy01
49,Rickard Rakell,31,PIT,RW,81,35,35,70,203,rakelri01
50,Wyatt Johnston,21,DAL,C,82,33,38,71,202,johnswy01
51,Jared McCann,28,SEA,C,82,22,39,61,202,mccanja01
52,Vincent Trocheck,31,NYR,C,82,26,33,59,202,trochvi01
53,John Tavares,34,TOR,C,75,38,36,74,200,tavarjo01
54,Rasmus Dahlin,24,BUF,D,73,17,51,68,200,dahlira01
55,Matvei Michkov,20,PHI,RW,80,26,37,63,200,michkma01
56,Warren Foegele,28,LAK,LW,82,24,22,46,199,foegewa01
57,Connor McDavid,28,EDM,C,67,26,74,100,196,mcdavco01
58,Alex Tuch,28,BUF,RW,82,36,31,67,196,tuchal01
59,Noah Dobson,25,NYI,D,71,10,29,39,196,dobsono01
60,Connor Bedard,19,CHI,C,82,23,44,67,195,bedarco01
61,Jake Sanderson,22,OTT,D,80,11,46,57,195,sandeja01
62,Gustav Forsling,28,FLA,D,80,11,20,31,195,forslgu02
63,Martin Nečas,26,2TM,C,79,27,56,83,194,necasma01
64,Brad Marchand,36,2TM,LW,71,23,28,51,194,marchbr03
65,Jaden Schwartz,32,SEA,C,81,26,23,49,194,schwaja01
66,Blake Coleman,33,CGY,C,82,15,24,39,194,colembl01
67,Logan Stankoven,21,2TM,C,78,14,24,38,194,stanklo01
68,Brock Nelson,33,2TM,C,80,26,30,56,193,nelsobr01
69,Alex Laferriere,23,LAK,RW,77,19,23,42,193,laferal01
70,Lucas Raymond,22,DET,LW,82,27,53,80,192,raymolu01
71,Quinn Hughes,25,VAN,D,68,16,60,76,192,hughequ01
72,Drake Batherson,26,OTT,C,82,26,42,68,192,bathedr01
73,Adam Fantilli,20,CBJ,C,82,31,23,54,191,fantiad01
74,Erik Karlsson,34,PIT,D,82,11,42,53,191,karlser01
75,Bryan Rust,32,PIT,RW,71,31,34,65,190,rustbr01
76,Cutter Gauthier,21,ANA,LW,82,20,24,44,190,gauthcu01
77,Brayden Point,28,TBL,C,77,42,40,82,189,pointbr01
78,Travis Konecny,27,PHI,RW,82,24,52,76,188,konectr01
79,Troy Terry,27,ANA,C,77,21,34,55,188,terrytr01
80,Dylan Cozens,23,2TM,C,82,16,31,47,188,cozendy01
81,Owen Tippett,25,PHI,RW,77,20,23,43,188,tippeow01
82,Darnell Nurse,29,EDM,D,76,5,28,33,188,nurseda01
83,Nico Hischier,26,NJD,C,75,35,34,69,187,hischni01
84,Nick Schmaltz,28,UTA,C,82,20,43,63,186,schmani01
85,Dougie Hamilton,31,NJD,D,64,9,31,40,186,hamildo01
86,MacKenzie Weegar,31,CGY,D,81,8,39,47,184,weegama01
87,Mika Zibanejad,31,NYR,C,82,20,42,62,183,zibanmi01
88,Ryan Donato,28,CHI,C,80,31,31,62,182,donatry01
89,Victor Hedman,34,TBL,D,79,15,51,66,181,hedmavi01
90,Fabian Zetterlund,25,2TM,W,84,19,22,41,181,zettefa01
91,Jesper Bratt,26,NJD,W,81,21,67,88,180,brattje01
92,Mark Scheifele,31,WPG,C,82,39,48,87,180,scheima01
93,Mason McTavish,22,ANA,C,76,22,30,52,180,mctavma01
94,Andrei Svechnikov,24,CAR,RW,72,20,28,48,180,svechan01
95,Matthew Coronato,22,CGY,RW,77,24,23,47,180,coronma01
96,Jakob Chychrun,26,WSH,D,74,20,27,47,179,chychja01
97,Thomas Chabot,28,OTT,D,80,9,36,45,179,chaboth01
98,Dylan Holloway,23,STL,C,77,26,37,63,178,hollody01
99,Tomáš Hertl,31,VEG,C,73,32,29,61,177,hertlto01
100,Connor McMichael,24,WSH,C,82,26,31,57,177,mcmicco01
101,Patrick Kane,36,DET,RW,72,21,38,59,175,kanepa01
102,Mikael Backlund,35,CGY,C,76,15,17,32,175,backlmi01
103,Nikolaj Ehlers,28,WPG,LW,69,24,39,63,174,ehlerni01
104,Steven Stamkos,34,NSH,C,82,27,26,53,174,stamkst01
105,Brent Burns,39,CAR,D,82,6,23,29,174,burnsbr01
106,Mitch Marner,27,TOR,RW,81,27,75,102,173,marnemi01
107,JJ Peterka,23,BUF,RW,77,27,41,68,173,peterjo01
108,Nick Suzuki,25,MTL,C,82,30,59,89,172,suzukni01
109,Josh Morrissey,29,WPG,D,80,14,48,62,172,morrijo04
110,Conor Garland,28,VAN,RW,81,19,31,50,171,garlaco01
111,Thomas Harley,23,DAL,D,78,16,34,50,171,harleth01
112,Jake DeBrusk,28,VAN,LW,82,28,20,48,171,debruja01
113,Mikael Granlund,32,2TM,C,83,22,44,66,169,granlmi01
114,Tom Wilson,30,WSH,RW,81,33,32,65,169,wilsoto01
115,Kyle Palmieri,33,NYI,RW,82,24,24,48,169,palmiky01
116,Bobby McMann,28,TOR,F,74,20,14,34,169,mcmanbo02
117,John Carlson,35,WSH,D,79,5,46,51,167,carlsjo01
118,Stefan Noesen,31,NJD,RW,78,22,19,41,165,noesest01
119,Ryan Nugent-Hopkins,31,EDM,C,78,20,29,49,164,nugenry01
120,Jake Walman,28,2TM,D,65,7,33,40,164,walmaja01
121,Kris Letang,37,PIT,D,74,9,21,30,164,letankr01
122,Rasmus Andersson,28,CGY,D,81,11,20,31,163,anderra01
123,Tim Stützle,23,OTT,LW,82,24,55,79,162,stuetti02
124,Moritz Seider,23,DET,D,82,8,38,46,162,seidemo01
125,Evan Rodrigues,31,FLA,C,82,15,17,32,161,rodriev01
